,MKT,SMB,WML,BAB
2015-01-31 00:00:00+05:30,0.05654914024358826,0.020971502544652,,
2015-02-28 00:00:00+05:30,0.009650821746383764,0.03154096215171598,,
2015-03-31 00:00:00+05:30,-0.05155130803647223,0.07178769764813893,,
2015-04-30 00:00:00+05:30,-0.03483912567710734,-0.03813399447688185,,
2015-05-31 00:00:00+05:30,0.02636745835712717,0.018739582374366275,,
2015-06-30 00:00:00+05:30,0.021948683286836745,0.022830098514202812,,
2015-07-31 00:00:00+05:30,0.03795676346794319,0.05940874439579644,,
2015-08-31 00:00:00+05:30,-0.05559173818022978,0.06179199722979738,,
2015-09-30 00:00:00+05:30,0.018808489768688652,0.05124213797993497,,
2015-10-31 00:00:00+05:30,-0.00368547840375677,-0.05079947517348109,,
2015-11-30 00:00:00+05:30,0.0010857105527268818,-0.011609963414629646,,
2015-12-31 00:00:00+05:30,0.0011758763237994518,0.0783697396342895,,
2016-01-31 00:00:00+05:30,-0.048445482130688444,0.06656935417717129,0.06854572448055896,0.08468934046957177
2016-02-29 00:00:00+05:30,-0.09436934605766611,0.01308265115050862,0.030629920434155536,0.039542440047331734
2016-03-31 00:00:00+05:30,0.13084722873169374,-0.0795368951892749,-0.09286552133541007,-0.06852947268370972
2016-04-30 00:00:00+05:30,-0.00730471505989283,-0.0022414278421945717,-0.025726299091872778,0.028359144191587915
2016-05-31 00:00:00+05:30,0.0457678954938634,0.028776450702630317,-0.003562806622628832,-0.016841161611648538
2016-06-30 00:00:00+05:30,0.004333247916876948,-0.009220848288599518,-0.01748427029226359,-0.030845612204816703
2016-07-31 00:00:00+05:30,0.06373263809620044,0.024003528894477683,0.015735603540646653,-0.07184415387841755
2016-08-31 00:00:00+05:30,0.009937961707093823,-0.01930867758615436,0.05091672998112776,-0.0822172931178599
2016-09-30 00:00:00+05:30,-0.007280884604035864,0.03200471220686407,0.010676095424621852,0.010365218370105697
2016-10-31 00:00:00+05:30,-0.001902522456783351,-0.040565224626737915,-0.003020585705728421,-0.08871707360489903
2016-11-30 00:00:00+05:30,-0.059288372244232446,-0.05730838139006163,-0.09592721491428109,0.032702623948580145
2016-12-31 00:00:00+05:30,-0.008976077695398321,0.010948447819659016,-0.06689980197839165,0.0718848103064376
2017-01-31 00:00:00+05:30,0.031014530605503188,-0.006908652659246187,0.18431189254073854,-0.10916781767693744
2017-02-28 00:00:00+05:30,0.06788605379950519,0.00801394784874613,-0.051975789333460774,0.06727801508540998
2017-03-31 00:00:00+05:30,0.031768860764552764,-0.026503794587267003,0.03717456885294394,0.0037593882217686544
2017-04-30 00:00:00+05:30,0.007982685639537523,-0.0008164124885570896,0.12330090751544516,0.0011262211288038948
2017-05-31 00:00:00+05:30,0.0568040999247561,0.00924686385445013,-0.05370861371333739,-0.03483847575739729
2017-06-30 00:00:00+05:30,-0.02377884374890238,-0.01664280562453561,0.0651127882930144,-0.027091084770788476
2017-07-31 00:00:00+05:30,0.09961516224019484,-0.027713839371863072,0.024034424637858542,-0.026511042834750143
2017-08-31 00:00:00+05:30,-0.019957263691168237,0.04399401275364686,0.03815898951588219,0.038112715951942655
2017-09-30 00:00:00+05:30,-0.02782586511970686,0.040638782237301,0.03976788999249929,0.018570661374273024
2017-10-31 00:00:00+05:30,0.06757209706263922,-0.04710826692430474,-0.04008308515938026,-0.047090628014104616
2017-11-30 00:00:00+05:30,0.006400067525839104,-0.02469574842199385,-0.04182395361772484,-0.0029644296426675583
2017-12-31 00:00:00+05:30,0.027328126873876757,0.05587498842008631,-0.006809481170964658,0.03516111687861053
2018-01-31 00:00:00+05:30,0.032710587450553996,-0.034169243905860916,-0.03744127255597007,0.03434709195502998
