timestamp,open,high,low,close,volume
2015-01-02 00:00:00+05:30,103.77,105.05,103.69,104.5,4198954
2015-01-05 00:00:00+05:30,104.45,105.94,104.16,104.68,3838602
2015-01-06 00:00:00+05:30,104.07,104.33,101.65,102.24,12396698
2015-01-07 00:00:00+05:30,101.85,102.19,100.94,101.46,8305584
2015-01-08 00:00:00+05:30,104.28,104.8,101.85,102.19,7792132
2015-01-09 00:00:00+05:30,102.98,105.0,101.86,103.78,13587120
2015-01-12 00:00:00+05:30,103.13,104.82,102.7,104.26,4421792
2015-01-13 00:00:00+05:30,104.46,106.26,104.07,105.66,6312676
2015-01-14 00:00:00+05:30,106.13,106.78,103.13,103.49,9723860
2015-01-15 00:00:00+05:30,105.0,105.75,103.36,104.91,6993424
2015-01-16 00:00:00+05:30,105.15,105.64,103.67,104.07,8304682
2015-01-19 00:00:00+05:30,110.83,112.22,109.19,109.54,32334212
2015-01-20 00:00:00+05:30,109.9,111.38,109.3,110.7,13390596
2015-01-21 00:00:00+05:30,110.55,111.57,108.12,110.38,17701412
2015-01-22 00:00:00+05:30,110.63,112.07,109.63,111.48,19458656
2015-01-23 00:00:00+05:30,112.35,113.25,110.67,112.84,19277840
2015-01-27 00:00:00+05:30,112.95,113.58,111.57,112.23,15764554
2015-01-28 00:00:00+05:30,111.75,114.75,111.71,113.86,16769972
2015-01-29 00:00:00+05:30,114.0,115.22,112.47,113.01,13488324
2015-01-30 00:00:00+05:30,113.8,114.39,111.97,113.73,9393194
2015-02-02 00:00:00+05:30,114.75,117.7,114.19,117.21,15948660
2015-02-03 00:00:00+05:30,117.0,117.76,115.83,116.54,8465540
2015-02-04 00:00:00+05:30,116.85,118.11,115.55,116.1,8923264
2015-02-05 00:00:00+05:30,116.43,120.58,116.42,119.67,12263610
2015-02-06 00:00:00+05:30,119.63,122.76,119.25,120.61,11074314
2015-02-09 00:00:00+05:30,119.98,121.88,119.18,121.47,6794576
2015-02-10 00:00:00+05:30,120.19,122.25,119.51,120.49,11140580
2015-02-11 00:00:00+05:30,121.13,121.69,118.72,119.7,14166506
2015-02-12 00:00:00+05:30,120.66,122.44,120.24,121.28,9639760
2015-02-13 00:00:00+05:30,121.5,124.48,121.28,123.88,9239168
2015-02-16 00:00:00+05:30,123.92,125.11,123.75,124.03,5117466
2015-02-18 00:00:00+05:30,124.13,125.82,122.91,125.44,6045572
2015-02-19 00:00:00+05:30,125.44,125.44,122.82,123.66,7382042
2015-02-20 00:00:00+05:30,123.66,123.94,121.41,121.88,4849776
2015-02-23 00:00:00+05:30,121.88,123.38,120.67,121.83,5689866
2015-02-24 00:00:00+05:30,122.35,123.72,121.8,122.44,8433604
2015-02-25 00:00:00+05:30,122.54,124.8,122.27,124.47,9829072
2015-02-26 00:00:00+05:30,124.47,125.42,122.14,123.36,10478410
2015-02-27 00:00:00+05:30,123.19,123.49,121.63,122.68,12264624
2015-02-28 00:00:00+05:30,123.15,124.41,122.25,123.6,4640752
2015-03-02 00:00:00+05:30,123.77,126.45,122.63,124.6,9859642
2015-03-03 00:00:00+05:30,124.69,126.94,124.32,126.09,9609808
2015-03-04 00:00:00+05:30,126.05,126.33,123.06,123.66,8693386
2015-03-05 00:00:00+05:30,123.73,125.61,122.86,125.22,7213280
2015-03-09 00:00:00+05:30,125.07,125.07,123.01,123.77,7593754
2015-03-10 00:00:00+05:30,122.07,124.09,120.94,122.68,9328400
2015-03-11 00:00:00+05:30,123.29,127.05,121.97,122.77,12190752
2015-03-12 00:00:00+05:30,122.97,123.18,121.22,122.87,6275690
2015-03-13 00:00:00+05:30,123.45,123.45,118.49,119.86,10007636
2015-03-16 00:00:00+05:30,120.23,122.06,119.37,121.17,8820570
2015-03-17 00:00:00+05:30,121.88,122.14,119.86,120.64,7882842
2015-03-18 00:00:00+05:30,121.32,121.5,117.89,118.39,8925626
2015-03-19 00:00:00+05:30,119.57,120.51,118.6,119.07,7848404
2015-03-20 00:00:00+05:30,119.76,123.13,119.37,122.37,12037722
2015-03-23 00:00:00+05:30,122.38,123.85,120.23,120.96,6133274
2015-03-24 00:00:00+05:30,120.94,123.47,120.58,122.3,7011002
2015-03-25 00:00:00+05:30,122.07,124.49,121.23,123.96,5859476
2015-03-26 00:00:00+05:30,123.36,123.36,117.23,118.48,12227284
2015-03-27 00:00:00+05:30,119.95,120.3,114.11,114.78,13652954
2015-03-30 00:00:00+05:30,116.25,117.18,115.54,116.89,6814468
2015-03-31 00:00:00+05:30,116.82,118.99,115.92,117.91,9010842
2015-04-01 00:00:00+05:30,116.89,119.34,116.29,118.73,6354890
2015-04-06 00:00:00+05:30,117.93,117.93,115.77,116.47,7872160
2015-04-07 00:00:00+05:30,116.89,117.73,114.22,115.32,9890884
2015-04-08 00:00:00+05:30,115.13,116.82,114.96,115.56,9541028
2015-04-09 00:00:00+05:30,116.53,117.06,114.76,115.72,7049920
2015-04-10 00:00:00+05:30,116.3,116.61,115.23,115.82,5738528
2015-04-13 00:00:00+05:30,116.05,117.33,115.29,117.04,4619466
2015-04-15 00:00:00+05:30,116.82,116.82,112.64,113.75,7315920
2015-04-16 00:00:00+05:30,113.82,114.04,110.64,112.87,13076864
2015-04-17 00:00:00+05:30,111.76,111.88,109.69,110.04,8342624
2015-04-20 00:00:00+05:30,110.04,110.82,106.97,107.89,7922148
2015-04-21 00:00:00+05:30,106.5,110.33,103.23,108.41,21048964
2015-04-22 00:00:00+05:30,105.38,105.61,101.63,102.11,33440964
2015-04-23 00:00:00+05:30,102.93,102.93,99.86,100.17,16233674
2015-04-24 00:00:00+05:30,100.42,101.0,96.1,98.1,19017594
2015-04-27 00:00:00+05:30,99.12,100.46,97.16,100.09,9816228
2015-04-28 00:00:00+05:30,99.94,100.79,98.44,99.8,16379562
2015-04-29 00:00:00+05:30,99.94,102.51,99.42,101.56,15025082
2015-04-30 00:00:00+05:30,100.7,101.64,100.08,100.99,16950224
2015-05-04 00:00:00+05:30,101.08,102.12,100.23,101.47,5264458
2015-05-05 00:00:00+05:30,102.2,102.82,101.49,102.17,8626660
2015-05-06 00:00:00+05:30,101.96,101.96,99.27,99.82,14824810
2015-05-07 00:00:00+05:30,99.57,101.76,98.46,100.91,12131050
2015-05-08 00:00:00+05:30,101.46,102.1,100.52,101.35,8303760
2015-05-11 00:00:00+05:30,101.81,102.06,100.71,101.53,11205824
2015-05-12 00:00:00+05:30,101.72,102.08,99.5,100.1,7637920
2015-05-13 00:00:00+05:30,100.32,101.89,99.31,101.67,8023002
2015-05-14 00:00:00+05:30,101.78,101.78,99.95,100.6,5469908
2015-05-15 00:00:00+05:30,100.5,101.55,100.32,100.96,5391274
2015-05-18 00:00:00+05:30,101.07,102.19,100.39,102.05,5679332
2015-05-19 00:00:00+05:30,102.19,104.02,101.93,103.62,12356228
2015-05-20 00:00:00+05:30,104.02,105.92,103.62,105.75,7847780
2015-05-21 00:00:00+05:30,106.13,106.15,104.72,105.8,7785824
2015-05-22 00:00:00+05:30,105.11,105.55,103.99,105.1,10580122
2015-05-25 00:00:00+05:30,105.19,106.03,104.53,105.58,8279642
2015-05-26 00:00:00+05:30,105.11,105.72,104.27,104.67,6425328
2015-05-27 00:00:00+05:30,104.3,104.57,102.39,103.57,8946010
2015-05-28 00:00:00+05:30,103.78,104.57,101.49,103.98,12361744
2015-05-29 00:00:00+05:30,103.99,105.94,103.99,105.32,17654980
2015-06-01 00:00:00+05:30,105.0,106.49,104.77,105.67,4461162
2015-06-02 00:00:00+05:30,105.37,105.38,102.39,102.9,5428368
2015-06-03 00:00:00+05:30,103.17,104.67,102.01,102.3,9938404
2015-06-04 00:00:00+05:30,102.57,105.17,102.57,103.63,12418164
2015-06-05 00:00:00+05:30,103.93,105.93,103.24,104.22,9048976
2015-06-08 00:00:00+05:30,104.22,105.32,103.22,104.07,6071764
2015-06-09 00:00:00+05:30,103.73,104.51,101.37,101.92,6360474
2015-06-10 00:00:00+05:30,101.72,106.31,101.57,105.52,9516500
2015-06-11 00:00:00+05:30,105.94,106.13,101.82,102.39,10654538
2015-06-12 00:00:00+05:30,102.39,103.95,99.19,100.76,11815546
2015-06-15 00:00:00+05:30,100.5,102.75,99.72,101.42,5508512
2015-06-16 00:00:00+05:30,101.82,102.46,100.32,101.31,6020208
2015-06-17 00:00:00+05:30,101.63,103.87,101.46,102.48,7280784
2015-06-18 00:00:00+05:30,102.66,105.08,102.13,104.27,9528346
2015-06-19 00:00:00+05:30,104.71,108.33,104.4,105.29,27555348
2015-06-22 00:00:00+05:30,104.98,105.67,103.7,105.04,8081060
2015-06-23 00:00:00+05:30,105.75,105.75,104.07,104.52,5694784
2015-06-24 00:00:00+05:30,104.63,106.5,104.44,106.02,7592164
2015-06-25 00:00:00+05:30,105.66,105.73,103.08,103.53,11733236
2015-06-26 00:00:00+05:30,103.9,105.26,103.9,104.75,4171248
2015-06-29 00:00:00+05:30,103.71,104.06,101.67,103.58,4477216
2015-06-30 00:00:00+05:30,103.5,103.98,102.19,102.51,8373888
2015-07-01 00:00:00+05:30,102.01,104.25,101.49,103.64,6424724
2015-07-02 00:00:00+05:30,104.24,105.1,102.95,104.21,5362554
2015-07-03 00:00:00+05:30,103.77,103.95,102.75,103.04,4578992
2015-07-06 00:00:00+05:30,102.11,103.46,101.95,103.14,3867642
2015-07-07 00:00:00+05:30,103.78,105.43,103.63,103.84,4165120
2015-07-08 00:00:00+05:30,103.33,104.77,102.94,103.64,5195984
2015-07-09 00:00:00+05:30,103.63,104.34,101.86,102.17,3664432
2015-07-10 00:00:00+05:30,103.13,103.95,102.29,102.87,5939476
2015-07-13 00:00:00+05:30,102.96,105.38,102.96,104.94,4831152
2015-07-14 00:00:00+05:30,104.53,106.39,104.23,106.02,3293914
2015-07-15 00:00:00+05:30,106.5,108.72,106.23,108.33,8716288
2015-07-16 00:00:00+05:30,108.55,109.13,107.29,107.87,4637732
2015-07-17 00:00:00+05:30,108.19,108.73,105.98,106.57,5034176
2015-07-20 00:00:00+05:30,105.75,107.38,105.38,106.62,3991264
2015-07-21 00:00:00+05:30,106.42,109.71,106.38,108.12,8343866
2015-07-22 00:00:00+05:30,108.75,110.37,108.0,109.62,5474928
2015-07-23 00:00:00+05:30,110.18,111.34,107.75,110.45,11890202
2015-07-24 00:00:00+05:30,109.32,109.88,105.98,106.27,12045392
2015-07-27 00:00:00+05:30,105.94,106.83,104.96,105.31,5267504
2015-07-28 00:00:00+05:30,105.28,105.42,103.78,104.37,8265860
2015-07-29 00:00:00+05:30,104.44,106.5,104.43,105.91,6008292
2015-07-30 00:00:00+05:30,106.5,106.82,104.2,105.38,5578064
2015-07-31 00:00:00+05:30,105.57,107.25,105.56,106.85,7047104
2015-08-03 00:00:00+05:30,107.07,107.98,106.69,106.95,3455284
2015-08-04 00:00:00+05:30,107.05,107.05,104.53,104.97,7786596
2015-08-05 00:00:00+05:30,105.24,108.38,104.97,107.88,5696432
2015-08-06 00:00:00+05:30,108.57,108.71,106.69,107.18,5022970
2015-08-07 00:00:00+05:30,107.18,107.98,106.14,106.71,4219930
2015-08-10 00:00:00+05:30,106.51,107.52,105.02,105.65,3854564
2015-08-11 00:00:00+05:30,106.13,106.4,104.07,106.16,6672932
2015-08-12 00:00:00+05:30,105.42,109.0,105.42,108.33,7323972
2015-08-13 00:00:00+05:30,108.29,108.66,106.09,107.1,5510922
2015-08-14 00:00:00+05:30,107.1,108.34,106.25,107.86,4568224
2015-08-17 00:00:00+05:30,107.97,108.57,106.66,107.97,2212864
2015-08-18 00:00:00+05:30,108.32,110.16,106.6,107.09,7479920
2015-08-19 00:00:00+05:30,107.57,110.02,107.25,109.64,5814980
2015-08-20 00:00:00+05:30,109.69,109.94,107.58,108.14,6423956
