symbol,mean_daily_return_pct,daily_vol_pct,next_day_daily_vol,next_day_annual_vol,omega,alpha_1,gamma_1,beta_1,nu,loglikelihood,aic,bic,model_path
HDFCBANK,0.051386498146632535,1.4075117071025083,0.019399683257494738,0.30796042447652694,0.012155746810229094,0.11009268957413229,-0.04286199499438138,0.9873694502480457,5.259409602538662,-4459.681420698767,8931.362841397535,8966.995654886461,/content/drive/MyDrive/QuantProject/models/egarch_HDFCBANK.pkl
NIFTY_INDEX,0.04256549111816047,1.0288713432151972,0.011579650633285435,0.18382125506810915,-0.0074337970969056335,0.12799922888591067,-0.11154388134832992,0.9700114391418732,7.117146317026067,-3482.5745289433557,6977.1490578867115,7012.758287282382,/content/drive/MyDrive/QuantProject/models/egarch_NIFTY_INDEX.pkl
MARUTI,0.06344308773970678,1.7218785937536896,0.018604935212685067,0.29534419038739973,0.032527630536979324,0.1277249978719339,-0.06771722905190428,0.977595469341695,4.359612946112634,-5057.636090819768,10127.272181639535,10162.904995128461,/content/drive/MyDrive/QuantProject/models/egarch_MARUTI.pkl
BAJFINANCE,0.14196709402949634,2.2372614991986617,0.023933487450865036,0.3799323348088446,0.05200238611062429,0.14356414369266232,-0.06391286892875468,0.9776779832247746,3.604979508375722,-5798.321072641293,11608.642145282585,11644.274958771512,/content/drive/MyDrive/QuantProject/models/egarch_BAJFINANCE.pkl
ICICIBANK,0.06580843118317793,1.9091800569307928,0.018748407409590356,0.29762174090578064,0.019389305917877356,0.11716208510159519,-0.07739004112598248,0.990350829125963,4.97037979399506,-5270.673188527365,10553.34637705473,10588.979190543656,/content/drive/MyDrive/QuantProject/models/egarch_ICICIBANK.pkl
WIPRO,0.034045458379653795,1.6174947093906789,0.01634806284540876,0.2595174522396393,0.040451147336579785,0.12944422363142408,-0.020161555964061908,0.9679606394575118,4.136490554519233,-5026.946167475932,10065.892334951865,10101.52514844079,/content/drive/MyDrive/QuantProject/models/egarch_WIPRO.pkl
INFY,0.04179575218915609,1.675619924369017,0.0207492914397444,0.3293847901821902,0.04433700436056422,0.09336138523594573,-0.03863272090812683,0.9596677296116466,4.591282326682307,-5127.017972981719,10266.035945963438,10301.67089887118,/content/drive/MyDrive/QuantProject/models/egarch_INFY.pkl
SBIN,0.06165678763630534,2.0621721698089703,0.02397772459691902,0.3806345777318651,0.03707101944704936,0.14722126080372128,-0.04288850720491926,0.9786170309848813,4.861258564004575,-5589.609671298674,11191.219342597347,11226.852156086274,/content/drive/MyDrive/QuantProject/models/egarch_SBIN.pkl
TCS,0.030510616084436906,1.4765120496723163,0.017629499494894275,0.2798596284121744,0.030687489129818724,0.0995539255327272,-0.012683050459458872,0.9703690174454875,4.429085473181148,-4858.660405178311,9729.320810356621,9764.953623845548,/content/drive/MyDrive/QuantProject/models/egarch_TCS.pkl
ASIANPAINT,0.05587652673639337,1.573726238060781,0.018546647323059808,0.2944188988250284,0.018065066747922097,0.08092884878370088,-0.03308544002600806,0.9870423625911462,4.386574973190147,-4996.70942200528,10005.41884401056,10041.053796918302,/content/drive/MyDrive/QuantProject/models/egarch_ASIANPAINT.pkl
RELIANCE,0.08339099383614179,1.7078767966490485,0.017500723209114083,0.2778153682505526,0.027772467553366254,0.12219792532753272,-0.03571651870841626,0.9774338801045995,5.353251881957101,-5141.9775577963,10295.9551155926,10331.590068500342,/content/drive/MyDrive/QuantProject/models/egarch_RELIANCE.pkl
