,Bear,Bull,Sideways
Bear,0.00021144230724116176,0.9997883563746681,2.0131809071755013e-07
Bull,0.0003616594964838959,1.063772989044334e-05,0.9996277027736257
Sideways,0.02190942380607604,0.0008338093862707826,0.977256766807653
