timestamp,HDFCBANK_annual_vol,NIFTY_INDEX_annual_vol,MARUTI_annual_vol,BAJFINANCE_annual_vol,ICICIBANK_annual_vol,WIPRO_annual_vol,INFY_annual_vol,SBIN_annual_vol,TCS_annual_vol,ASIANPAINT_annual_vol,RELIANCE_annual_vol
2015-01-05 00:00:00+05:30,0.22553896002606494,0.1806608387919296,0.22314852538142016,0.41221986262402954,0.36399960512194757,0.25774339053701756,0.27459212980663766,0.3515360860776146,0.25135875845386496,0.3656841055322815,0.3157393024972794
2015-01-06 00:00:00+05:30,0.2267637508820988,0.17510952767254886,0.2261194663913728,0.3965457455084134,0.3485968713914783,0.24711327536983388,0.27377533242487306,0.34406953501974125,0.25553914381898624,0.35369312672902575,0.31419344617753425
2015-01-07 00:00:00+05:30,0.23674223100455968,0.23028129019227758,0.24094830286049168,0.3820171514389243,0.4022930469110835,0.2644486141781208,0.28620086109652554,0.3899514973537357,0.2797920429947492,0.3637465601816362,0.3587107680218228
2015-01-08 00:00:00+05:30,0.228073876756032,0.22224553421726517,0.23623648612293793,0.3750309873638575,0.42624041193497564,0.2612383373931014,0.27714405947941384,0.36780124636863765,0.27895540958988896,0.35895512660071166,0.35425948569378896
2015-01-09 00:00:00+05:30,0.2294115565233818,0.21022586285629713,0.23111455150272364,0.3606053591421707,0.41511767124941934,0.2549302455065789,0.2688828956513505,0.35915327746853587,0.2748493828943385,0.3708596701226567,0.3540843866816446
2015-01-12 00:00:00+05:30,0.22545319664708902,0.19802319467693952,0.2248522214522388,0.36299470052101457,0.42081169864065776,0.2563021448950191,0.2814665519436205,0.347403374138473,0.2830045403517719,0.36704486170365214,0.34991118479263744
2015-01-13 00:00:00+05:30,0.22712406735665483,0.18672880484844584,0.21812673931686577,0.35222081119733534,0.40588263246460726,0.24820864632870954,0.2792591574134239,0.33807448162690484,0.2725361153461812,0.3600877956265023,0.34663828702000177
2015-01-14 00:00:00+05:30,0.2227094007140481,0.18213678728926158,0.20979663868140766,0.34281002119599197,0.4124149162462577,0.2482538505649852,0.282492108819099,0.3295498385167912,0.26595540392195705,0.36007635992976433,0.3396289905045978
2015-01-15 00:00:00+05:30,0.2136129383337625,0.17756992966702437,0.20766718186520844,0.3804081025773121,0.4114752555143906,0.26199524867310786,0.2797740020713842,0.3141013452615149,0.2619571934973708,0.35189709257333135,0.33478840936056986
2015-01-16 00:00:00+05:30,0.22081704819403053,0.17072345466610056,0.21407493953802187,0.37500291737863695,0.4074157937342048,0.2612116126851698,0.27030296368808815,0.3399744620737058,0.25631119219910536,0.34392729594545557,0.34132375446013175
