timestamp,india_vix,realised_vol,vrp,vrp_threshold,vrp_signal
2016-02-09,21.729999542236328,17.079394220584877,4.650605321651451,3.915307333258925,1
2016-02-10,22.46999931335449,17.245629866150257,5.224369447204232,4.010370083878371,1
2016-02-11,25.96999931335449,20.16280701895599,5.807192294398497,4.030293026295243,1
2016-02-12,24.670000076293945,20.17225166924181,4.497748407052136,4.030293026295243,1
2016-02-15,22.3799991607666,22.26178185269659,0.11821730807001174,4.010370083878371,0
2016-02-16,23.040000915527344,22.736096812214797,0.30390410331254714,3.915307333258925,0
2016-02-17,21.82999992370605,22.75368603603768,-0.9236861123316302,3.88286247425927,0
2016-02-18,21.489999771118164,22.9319617513519,-1.4419619802337351,3.8803610693952617,0
2016-02-19,20.920000076293945,22.554226923206066,-1.6342268469121208,3.8545907568907767,0
2016-02-22,21.020000457763672,21.90210793391958,-0.8821074761559089,3.7957339000325265,0
2016-02-23,23.84000015258789,22.607475156074305,1.232524996513586,3.778412299198484,0
2016-02-24,22.959999084472656,21.661048417785285,1.2989506666873716,3.7529280312794597,0
2016-02-25,22.75,21.654107604157968,1.0958923958420321,3.7266174599557305,0
2016-02-26,21.8700008392334,21.972944977183598,-0.10294413795019963,3.691857674365655,0
2016-02-29,20.15999984741211,22.00472571510007,-1.8447258676879592,3.669572241240036,0
2016-03-01,18.670000076293945,24.219729786934412,-5.549729710640467,3.644970638586522,0
2016-03-02,18.989999771118164,25.368417240641662,-6.378417469523498,3.5928548444230786,0
2016-03-03,18.040000915527344,25.497596638651398,-7.457595723124054,3.5425069930843605,0
2016-03-04,17.8799991607666,25.089648687577398,-7.2096495268107965,3.489394240893253,0
2016-03-08,18.46999931335449,25.031462860607544,-6.561463547253055,3.489394240893253,0
2016-03-09,17.510000228881836,24.81893741159869,-7.308937182716853,3.489394240893253,0
2016-03-10,17.899999618530273,24.437779218820722,-6.537779600290449,3.489394240893253,0
2016-03-11,17.100000381469727,24.023014664107205,-6.923014282637478,3.489394240893253,0
2016-03-14,17.100000381469727,23.60388084598739,-6.503880464517664,3.489394240893253,0
2016-03-15,17.600000381469727,20.583561674973332,-2.9835612935036053,3.489394240893253,0
2016-03-16,17.110000610351562,20.574482878206414,-3.4644822678548515,3.489394240893253,0
2016-03-17,16.84000015258789,18.93032199611046,-2.0903218435225703,3.489394240893253,0
2016-03-18,16.3799991607666,18.0556960329951,-1.6756968722284995,3.489394240893253,0
2016-03-21,16.329999923706055,18.274774794712545,-1.9447748710064907,3.489394240893253,0
2016-03-22,16.43000030517578,18.066082721958907,-1.6360824167831254,3.489394240893253,0
2016-03-23,16.350000381469727,18.09481541404023,-1.7448150325705036,3.489394240893253,0
2016-03-28,17.489999771118164,18.915122797012625,-1.425123025894461,3.489394240893253,0
2016-03-29,17.639999389648438,17.687291572944677,-0.04729218329623919,3.489394240893253,0
2016-03-30,16.809999465942383,17.45994977504972,-0.6499503091073358,3.489394240893253,0
2016-03-31,16.579999923706055,17.062356533737944,-0.48235661003188923,3.489394240893253,0
2016-04-01,17.280000686645508,17.22236310908148,0.05763757756402654,3.489394240893253,0
2016-04-04,17.450000762939453,16.83101157859489,0.6189891843445636,3.489394240893253,0
2016-04-05,17.829999923706055,15.556381552583327,2.273618371122728,3.489394240893253,0
2016-04-06,17.350000381469727,14.2018155293374,3.148184852132326,3.489394240893253,0
2016-04-07,16.93000030517578,13.843809622055211,3.08619068312057,3.489394240893253,0
2016-04-08,16.43000030517578,13.842843468733266,2.5871568364425155,3.489394240893253,0
2016-04-11,16.010000228881836,14.73177306539934,1.2782271634824962,3.489394240893253,0
2016-04-12,16.020000457763672,14.684207839492705,1.3357926182709665,3.489394240893253,0
2016-04-13,16.040000915527344,15.555094428606559,0.4849064869207851,3.489394240893253,0
2016-04-18,16.950000762939453,15.684097935898523,1.2659028270409305,3.489394240893253,0
2016-04-20,17.079999923706055,15.696979174527929,1.383020749178126,3.489394240893253,0
2016-04-21,16.510000228881836,15.083902807181705,1.4260974217001312,3.489394240893253,0
2016-04-22,16.3799991607666,15.12735077909571,1.252648381670891,3.489394240893253,0
2016-04-25,16.56999969482422,15.368829142756704,1.2011705520675147,3.489394240893253,0
2016-04-26,16.579999923706055,15.493612578482141,1.0863873452239137,3.489394240893253,0
2016-04-27,16.350000381469727,14.99613270862879,1.353867672840936,3.489394240893253,0
2016-04-28,16.600000381469727,16.221580366855694,0.37842001461403285,3.489394240893253,0
2016-04-29,16.540000915527344,16.221093515154234,0.31890740037311005,3.489394240893253,0
2016-05-02,17.09000015258789,15.63150100710105,1.4584991454868401,3.489394240893253,0
2016-05-03,17.459999084472656,15.868395759043516,1.5916033254291406,3.4448606373407964,0
2016-05-04,17.450000762939453,14.752636314573031,2.6973644483664216,3.4448606373407964,0
2016-05-05,17.170000076293945,14.810618190983584,2.359381885310361,3.4448606373407964,0
2016-05-06,16.950000762939453,14.765090876093486,2.1849098868459667,3.4448606373407964,0
2016-05-09,16.610000610351562,15.746270037529683,0.8637305728218792,3.4448606373407964,0
2016-05-10,16.420000076293945,13.931393557675698,2.4886065186182478,3.4448606373407964,0
2016-05-11,16.959999084472656,14.112191429386222,2.8478076550864344,3.4448606373407964,0
2016-05-12,16.329999923706055,13.719064423915125,2.61093549979093,3.4448606373407964,0
2016-05-13,17.0,14.40216959020093,2.5978304097990694,3.4448606373407964,0
2016-05-16,17.030000686645508,13.648190860978717,3.3818098256667906,3.4448606373407964,0
2016-05-17,16.3700008392334,13.617474277578697,2.752526561654701,3.4448606373407964,0
2016-05-18,16.450000762939453,12.203942823204281,4.246057939735172,3.489394240893253,1
2016-05-19,17.059999465942383,12.414554752622816,4.645444713319566,3.5425069930843605,1
