timestamp,P_Bear,P_Sideways,P_Bull
2015-02-28 00:00:00+05:30,3.7020559625060196e-16,0.9999996805585396,3.194414468899596e-07
2015-03-31 00:00:00+05:30,0.003174230491534082,0.9966594233005128,0.00016634620796039128
2015-04-30 00:00:00+05:30,0.004728018357566692,0.9919422641334941,0.003329717508928999
2015-05-31 00:00:00+05:30,0.0007195425133398821,0.9942103903127311,0.005070067173937472
2015-06-30 00:00:00+05:30,0.0015660319101892242,0.9975457064887349,0.0008882616010703973
2015-07-31 00:00:00+05:30,0.0009292342207661611,0.9972460278078444,0.00182473797139641
2015-08-31 00:00:00+05:30,0.009246385760438042,0.9896102976697183,0.0011433165698321605
2015-09-30 00:00:00+05:30,0.0012920647908945947,0.989285109644586,0.009422825564531884
2015-10-31 00:00:00+05:30,0.0007041872193720976,0.9977705386674504,0.0015252741131702352
2015-11-30 00:00:00+05:30,0.0013836746023345484,0.9977529733298411,0.0008633520678186709
2015-12-31 00:00:00+05:30,0.00043847065565852085,0.9979898942523521,0.001571635091996722
2016-01-31 00:00:00+05:30,0.002940651738880773,0.996536281733213,0.0005230665278975335
2016-02-29 00:00:00+05:30,0.5079529185244872,0.48906799499207076,0.0029790864834324114
2016-03-31 00:00:00+05:30,0.0030731464471722672,0.48360023750006736,0.5133266160527542
2016-04-30 00:00:00+05:30,0.00097793695351691,0.9958344632450475,0.003187599801431785
2016-05-31 00:00:00+05:30,0.0010610889172913897,0.9975176038868189,0.0014213071958911034
2016-06-30 00:00:00+05:30,0.0021522029968305103,0.9965475236387346,0.0013002733644469765
2016-07-31 00:00:00+05:30,0.001119801482941387,0.9962420500249773,0.00263814849207654
2016-08-31 00:00:00+05:30,0.0006857923772421172,0.9979478451262669,0.0013663624965004578
2016-09-30 00:00:00+05:30,0.001530695230929854,0.9976270941562466,0.0008422106128157664
2016-10-31 00:00:00+05:30,0.0008586088827856869,0.9974222522750398,0.0017191388421618787
2016-11-30 00:00:00+05:30,0.003576288382207164,0.9953986204808558,0.0010250911369376198
2016-12-31 00:00:00+05:30,0.0031216231306794868,0.9931289158487099,0.003749461020597044
2017-01-31 00:00:00+05:30,0.0019312424189178291,0.9944025621675682,0.0036661954135210266
